nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
CLUB belinann;3 Rue de la Découverte, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 64 76 07 90;fixe;http://www.clubbelinann.fr/;Olivier Thierry Jacob;officielle;TPE;lundi: 08:00 – 22:00 | mardi: 08:00 – 22:00 | mercredi: 08:00 – 22:00 | jeudi: 08:00 – 22:00 | vendredi: 08:00 – 22:00 | samedi: 09:00 – 18:00 | dimanche: 09:00 – 13:00;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Club multisports indépendant (restaurant, salle de sport, golf, bowling) avec gestion de réservations et abonnements complexes ; Qalm AI pourrait automatiser les appels de relance, les demandes de résiliation et améliorer l'accueil téléphonique actuellement défaillant selon les avis. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (445) → fort trafic d'appels | Décideur identifié (Olivier Thierry Jacob)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Melezim;14 Cr du Danube, 77700 Serris, France;Lagny-sur-Marne 77400;;;http://www.melezim.com/;Farid Ait Kheddache;officielle;TPE;lundi: 10:00 – 21:00 | mardi: 10:00 – 21:00 | mercredi: 10:00 – 21:00 | jeudi: 10:00 – 21:00 | vendredi: 10:00 – 21:00 | samedi: 10:00 – 21:00 | dimanche: 10:00 – 21:00;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant/brasserie indépendant avec flux de réservations et commandes à gérer 24/7 ; les avis révèlent des problèmes de service et de communication interne qui pourraient être partiellement résolus par un standard IA pour qualifier et dispatcher les appels, mais la volatilité qualité (hygiène, portions) limite l'urgence d'investissement. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (529) → fort trafic d'appels | Décideur identifié (Farid Ait Kheddache)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le-S Serris Séoul BBQ;18 Pl. de Toscane, 77700 Serris, France;Lagny-sur-Marne 77400;01 60 04 87 08;fixe;https://www.le-s.net/;Adrien Frédéric Vincent Del Pozo;officielle;petite PME (probable);lundi: 12:00 – 14:30, 19:00 – 22:30 | mardi: 12:00 – 14:30, 19:00 – 22:30 | mercredi: 12:00 – 14:30, 19:00 – 22:30 | jeudi: 12:00 – 14:30, 19:00 – 22:30 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 22:30 | dimanche: 12:00 – 22:30;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec fort volume de réservations et gestion d'appels critiques ; les avis révèlent des problèmes récurrents de prise de commande (attente longue, nécessité d'aller au bar) que Qalm AI pourrait automatiser 24/7 pour améliorer l'expérience client et la conversion. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1609) → fort trafic d'appels | Décideur identifié (Adrien Frédéric Vincent Del Pozo) | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Saumonerie Ca-re;5 Pl. de la Republique, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;01 60 20 32 17;fixe;http://www.saumonerie-artisanale.com/;Regis Guillemard;officielle;TPE;lundi: Fermé | mardi: Fermé | mercredi: Fermé | jeudi: 10:00 – 12:30, 15:30 – 18:30 | vendredi: 10:00 – 12:30, 15:30 – 19:00 | samedi: 10:00 – 12:30, 15:30 – 18:30 | dimanche: 10:30 – 12:30;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte activité événementielle (mariages, anniversaires 70+ convives) nécessitant gestion fluide des demandes de devis, réservations et relances clients ; Qalm AI optimiserait la qualification des appels et la prise de commandes 24/7 pour maximiser le taux de conversion. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Regis Guillemard)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Restaurant Le Moulin;1 Chem. de Quincangrogne, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 70 61 07 36;fixe;https://lemoulin.marne-nature.com/;Hortense Le Parc;officielle;petite PME (probable);lundi: 07:30 – 23:00 | mardi: 07:30 – 23:00 | mercredi: 07:30 – 23:00 | jeudi: 07:30 – 23:00 | vendredi: 07:30 – 23:00 | samedi: 07:30 – 23:00 | dimanche: 07:30 – 23:00;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant gastronomique indépendant avec forte demande de réservations et gestion d'appels clientèle premium ; Qalm AI optimiserait la prise de réservations 24/7 et la qualification des demandes de groupe/événementiel pour maximiser le taux de remplissage. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (642) → fort trafic d'appels | Décideur identifié (Hortense Le Parc) | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Mon P'tit Viêt;7 Rue du Chemin de Fer, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;09 84 05 10 55;fixe;https://lagny-sur-marne.paiement.solutions/mon-p-tit-viet-petite-restauration-lagny-sur-marne;Tifany Remion (lim);officielle;TPE;lundi: 11:30 – 14:30 | mardi: 11:30 – 14:30, 18:30 – 21:30 | mercredi: 11:30 – 14:30, 18:30 – 21:30 | jeudi: 11:30 – 14:30, 18:30 – 21:30 | vendredi: 11:30 – 14:30, 18:30 – 21:30 | samedi: 11:30 – 14:30, 18:30 – 21:30 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec flux de réservations et commandes à emporter ; Qalm AI optimiserait la gestion des appels entrants et qualification des demandes pour réduire les délais de réponse, actuellement source de frustration client. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (314) → fort trafic d'appels | Décideur identifié (Tifany Remion (lim)) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Au Convivial;2 bis All. des Rousselets, 77400 Thorigny-sur-Marne, France;Lagny-sur-Marne 77400;01 60 07 26 41;fixe;https://www.facebook.com/Au-Convivial-1896037007389194/;;;TPE;lundi: 08:00 – 16:00 | mardi: 08:00 – 16:00 | mercredi: 08:00 – 16:00 | jeudi: 08:00 – 16:00 | vendredi: 08:00 – 16:00 | samedi: 09:00 – 16:00, 19:30 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec activité de traiteur et réservations (évoquées dans les avis) ; Qalm AI optimiserait la gestion des appels de réservation et commandes groupe 24/7, particulièrement utile pour les événements (Noël mentionné) et réduirait les appels manqués en période de service. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (208) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
KEBAB HOUSE (Esbly);12 Av. Charles de Gaulle, 77450 Esbly, France;Lagny-sur-Marne 77400;09 51 85 25 28;fixe;https://restaurant-turc.restaurants-de-france.fr/kebab-house-esbly-1277632.html;Hanim Gul;officielle;TPE;lundi: 11:00 – 23:00 | mardi: 11:00 – 23:00 | mercredi: 11:00 – 23:00 | jeudi: 11:00 – 23:00 | vendredi: 11:00 – 23:00 | samedi: 11:00 – 23:00 | dimanche: 11:00 – 22:00;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Kebab indépendant avec excellente réputation (5/5 avis positifs) et service client premium ; Qalm AI optimiserait la gestion des appels de réservation/commandes en heures de pointe et réduirait les temps d'attente, renforçant l'expérience client déjà différenciante. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (174) | Décideur identifié (Hanim Gul)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Dynastie d'Or;Rue du Port, 77450 Esbly, France;Lagny-sur-Marne 77400;01 61 10 33 33;fixe;https://dynastie-dor-1.wheree.com/;Wen Hui Wu (wu);officielle;petite PME (probable);lundi: 12:00 – 14:30, 19:00 – 22:30 | mardi: 12:00 – 14:30, 19:00 – 22:30 | mercredi: 12:00 – 14:30, 19:00 – 22:30 | jeudi: 12:00 – 14:30, 19:00 – 22:30 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: 12:00 – 14:30, 19:00 – 22:30;Horaires continus / larges;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant buffet asiatique indépendant avec fort trafic client (parking saturé aux heures de pointe) ; besoin de gérer les réservations, les pics d'appels et les demandes de groupe 24/7 pour optimiser le remplissage et la satisfaction client. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1045) → fort trafic d'appels | Décideur identifié (Wen Hui Wu (wu)) | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Tayïa Beauté;5 Bis Rue Grognet, 77181 Le Pin, France;Lagny-sur-Marne 77400;06 64 45 22 40;mobile;https://www.planity.com/tayia-beaute-77181-le-pin;Emilie Frederique Glavieux;officielle;TPE;lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: Fermé | jeudi: 10:00 – 18:00 | vendredi: 10:00 – 19:00 | samedi: 09:00 – 18:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et services variés (coiffure, esthétique, massage) ; Qalm AI optimiserait la gestion 24/7 des appels et prise de rendez-vous pour cette petite équipe jeune en croissance depuis 2020. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Emilie Frederique Glavieux) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Garden Service;77 All. du Parc aux Bœufs, 77200 Torcy, France;Lagny-sur-Marne 77400;01 60 17 77 77;fixe;https://www.garden-service.fr/;Francois-xavier Horvat;officielle;petite PME;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24;Ouvert 24h/24;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME locale paysagiste/espaces verts avec réputation mixte (qualité variable) ; Qalm AI pourrait standardiser la prise d'appels et les devis pour améliorer la professionnalité perçue et gérer les demandes de réservation/qualification. | Décideur identifié (Francois-xavier Horvat) | PME structurée (10-19) → budget solvable | Créneaux critiques (Ouvert 24h/24)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
C&S Auto école Torcy;7 Av. Jacques Prévert, 77200 Torcy, France;Lagny-sur-Marne 77400;09 63 40 14 18;fixe;https://www.csautoecole.fr/;Catarina Alexandra Lopes De Sa;officielle;TPE;lundi: Fermé | mardi: 10:00 – 12:00, 15:00 – 19:00 | mercredi: 10:00 – 12:00, 15:00 – 19:00 | jeudi: 10:00 – 12:00, 15:00 – 19:00 | vendredi: 15:00 – 19:00 | samedi: 10:00 – 16:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec problèmes organisationnels avérés (délais d'examen non respectés, planning de cours insuffisant) ; Qalm AI pourrait optimiser la gestion des appels de réservation, relances et qualification des demandes pour fluidifier le parcours client et réduire les abandons. | Volume d'avis solide (118) | Décideur identifié (Catarina Alexandra Lopes De Sa) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
A & M Auto-Ecole Chanteloup-en-Brie;77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;09 84 24 21 53;fixe;https://aetm-autoecole.fr/;Mathieu Moutou;officielle;TPE;lundi: Fermé | mardi: 15:00 – 19:00 | mercredi: 15:00 – 19:00 | jeudi: 15:00 – 19:00 | vendredi: 15:00 – 19:00 | samedi: 10:00 – 16:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte demande de gestion administrative (réservations, planification des heures de conduite, organisation des examens) ; Qalm AI optimiserait la qualification des appels entrants et la prise de rendez-vous 24/7, libérant Régine et l'équipe pour se concentrer sur la pédagogie et la relation client. | Volume d'avis solide (104) | Décideur identifié (Mathieu Moutou) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Les Caraïbes;16 Rue Jean Monnet, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 64 66 38 43;fixe;https://www.lescaraibes.fr/contactez-nous-bussy-saint-georges;Hocine Zouaoui;officielle;petite PME;lundi: 14:00 – 19:00 | mardi: 10:00 – 12:00, 14:00 – 19:00 | mercredi: 10:00 – 12:00, 14:00 – 19:00 | jeudi: 10:00 – 12:00, 14:00 – 19:00 | vendredi: 10:00 – 12:00, 14:00 – 19:00 | samedi: 09:00 – 13:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte volatilité de satisfaction client (5 avis polarisés) ; gestion des appels de réservation, rappels d'examens et qualification des demandes d'inscription pourrait stabiliser l'expérience client et réduire les non-réponses. | Volume d'avis solide (123) | Décideur identifié (Hocine Zouaoui) | PME structurée (10-19) → budget solvable | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Ecole de Conduite Richemont;2 Av. de la République, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;01 60 07 49 60;fixe;https://ecoleconduite.fr/77/lagny-sur-marne/ecole-de-conduite-richemont-12q;Cédric Jorge;officielle;TPE;lundi: Fermé | mardi: 10:00 – 12:00, 14:00 – 19:00 | mercredi: 10:00 – 12:00, 14:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 14:00 – 19:00 | samedi: 10:00 – 12:00, 14:00 – 17:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte demande de réservations et gestion d'appels (5 avis positifs mentionnent réactivité/disponibilité) ; Qalm AI optimiserait la prise de rendez-vous 24/7 et la qualification des demandes d'inscription, mais le secteur auto-école a un volume d'appels modéré et une marge limitée justifiant un score moyen. | Volume d'avis solide (101) | Décideur identifié (Cédric Jorge) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Auto-école de Coupvray;39 Rue d'Esbly, 77700 Coupvray, France;Lagny-sur-Marne 77400;01 60 43 71 92;fixe;https://www.auto-ecole-coupvray.com/;Jean-baptiste Marie Ribatto;officielle;TPE;lundi: Fermé | mardi: 14:00 – 19:00 | mercredi: 14:00 – 19:00 | jeudi: 14:00 – 19:00 | vendredi: 16:00 – 18:00 | samedi: 10:00 – 16:00 | dimanche: Fermé;Fermé dimanche;non;;83;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Auto-école indépendante avec forte réputation (5/5 avis) gérant des appels de réservation de leçons et demandes d'inscription ; Qalm AI optimiserait la capture d'appels en heures creuses et la qualification des prospects pour maximiser les conversions. | Décideur identifié (Jean-baptiste Marie Ribatto) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
TRAITEUR ET CIE - Chutney & Co;38 Rue de Lamirault, 77090 Collégien, France;Lagny-sur-Marne 77400;01 86 90 50 60;fixe;http://www.chutney-andco.com/;Thibault Leseul;officielle;TPE;lundi: 09:00 – 17:00 | mardi: 09:00 – 17:00 | mercredi: 09:00 – 17:00 | jeudi: 09:00 – 17:00 | vendredi: 09:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte activité événementielle (mariages, séminaires) nécessitant gestion 24/7 des appels de réservation et devis ; Qalm AI optimiserait la qualification des demandes et la disponibilité commerciale. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Thibault Leseul) | Créneaux critiques (Fermé week-end)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Gwada Délices;10 Rue des 18 Arpents, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 73 58 71 18;fixe;https://gwada-delices.com/page-nos-cocktails;Olivier Roland Deloumeaux;officielle;TPE;lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00 | jeudi: 09:00 – 19:00 | vendredi: 09:00 – 19:00 | samedi: 09:00 – 19:00 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte demande événementielle (baptêmes, réceptions) nécessitant gestion des appels de réservation et commandes 48-72h ; Qalm AI optimiserait la prise de commande et qualification des demandes sans surcharge administrative. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Olivier Roland Deloumeaux) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le ZinK;4 Rue Lamartine, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;01 64 30 48 24;fixe;https://www.marneetgondoire-tourisme.fr/fr/fiche/6669046/le-zink/;;;TPE;lundi: 08:00 – 15:00 | mardi: 08:00 – 15:00 | mercredi: 08:00 – 15:00 | jeudi: 08:00 – 15:00 | vendredi: 08:00 – 15:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec flux de réservations et appels clients réguliers ; Qalm AI optimiserait la gestion 24/7 des appels entrants, réservations et qualification des demandes, libérant le personnel pour la cuisine et le service face-à-face. | Prise de RDV / Réservations (standard surchargé en rush/service) | Créneaux critiques (Fermé week-end)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
ELITE FITNESS CONCEPT;1 rue de la persévérance, 77144 Chalifert, France;Lagny-sur-Marne 77400;01 86 04 30 39;fixe;http://elitefitnessconcept.fr/;Mariana Fazica;officielle;petite PME (probable);lundi: 06:30 – 22:00 | mardi: 06:30 – 22:00 | mercredi: 06:30 – 22:00 | jeudi: 06:30 – 22:00 | vendredi: 06:30 – 22:00 | samedi: 08:00 – 21:00 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Salle de sport indépendante avec système de créneaux et forte demande de réservations ; Qalm AI optimiserait la gestion 24/7 des appels d'inscription, des demandes de coaching personnalisé et des événements, libérant l'équipe (Fabrice, Crina) pour le service client en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Mariana Fazica) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le Relais du Buisson;Cr du Buisson, 77186 Noisiel, France;Lagny-sur-Marne 77400;01 60 20 92 95;fixe;http://www.lerelaisdubuisson.fr/;;;petite PME (probable);lundi: 12:00 – 14:00 | mardi: 12:00 – 21:30 | mercredi: 12:00 – 21:30 | jeudi: 12:00 – 21:30 | vendredi: 12:00 – 21:30 | samedi: 19:00 – 21:30 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité (réservations, appels clients, événements privés) et excellente réputation ; Qalm AI optimiserait la gestion 24/7 des appels entrants et des réservations pour éviter les appels manqués en heures de pointe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (963) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Grill Istanbul Lognes;75 Bd du Segrais, 77185 Lognes, France;Lagny-sur-Marne 77400;09 75 40 19 44;fixe;https://wanderlog.com/place/details/2843997/grill-istanbul-lognes;;;petite PME (probable);lundi: 11:00 – 22:30 | mardi: 11:00 – 22:30 | mercredi: 11:00 – 22:30 | jeudi: 11:00 – 22:30 | vendredi: 11:00 – 22:30 | samedi: 11:00 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte réputation (5/5 avis) et flux client régulier ; Qalm AI optimiserait la gestion des réservations, appels de commande et qualification des demandes traiteur 24/7 pour maximiser le chiffre d'affaires sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (687) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Cesena Trattoria;12 Av. des 2 Châteaux, 77600 Guermantes, France;Lagny-sur-Marne 77400;01 64 12 29 42;fixe;https://pizza-cesena-19e279.webflow.io/premium;;;petite PME (probable);lundi: 12:00 – 14:00 | mardi: 12:00 – 14:00, 19:00 – 22:00 | mercredi: 12:00 – 14:00, 19:00 – 22:00 | jeudi: 12:00 – 14:00, 19:00 – 22:00 | vendredi: 12:00 – 14:00, 19:00 – 23:00 | samedi: 12:00 – 14:00, 19:00 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant italien indépendant avec forte satisfaction client et besoin de gérer les réservations et appels entrants 24/7 ; Qalm AI optimiserait la prise de commandes et la qualification des demandes sans surcharger l'équipe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1188) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
OMAKASE by Goma;15b Rue d'Ariane, 77700 Chessy, France;Lagny-sur-Marne 77400;06 19 73 54 72;mobile;http://www.goma-restaurant.com/omakase;Éric;haute (certifiée avis);petite PME (probable);lundi: Fermé | mardi: Fermé | mercredi: 19:45 – 23:30 | jeudi: 19:45 – 23:30 | vendredi: 19:45 – 23:30 | samedi: 12:45 – 15:30, 19:45 – 23:30 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant gastronomique indépendant (omakase) avec forte demande de réservations et gestion d'appels clients ; Qalm AI optimiserait la prise de rendez-vous 24/7 et la qualification des demandes pour ce concept haut de gamme à capacité limitée. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (775) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Éric) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Solo Pizza Napoletana;11 Rue d'Ariane, 77700 Chessy, France;Lagny-sur-Marne 77400;01 60 43 99 56;fixe;http://solopizzanapoletana.fr/?utm_source=gmb&utm_medium=referral;;;petite PME (probable);lundi: Fermé | mardi: 12:00 – 14:30, 19:00 – 22:00 | mercredi: 12:00 – 14:30, 19:00 – 22:00 | jeudi: 12:00 – 14:30, 19:00 – 22:00 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Pizzeria indépendante avec forte demande de réservations (salle petite, clients conseillés de réserver) et gestion d'appels critiques ; Qalm AI optimiserait la prise de réservations 24/7 et réduirait les appels manqués, problème logistique majeur identifié dans les avis. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (742) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Hôtel Restaurant C La Suite;31 Rue de Paris, 77400 Pomponne, France;Lagny-sur-Marne 77400;01 60 07 15 36;fixe;https://c-lasuite.com/;Chauveau;haute (certifiée avis);petite PME (probable);lundi: Fermé | mardi: Fermé | mercredi: 12:00 – 13:00, 19:00 – 21:00 | jeudi: 12:00 – 13:00, 19:00 – 21:00 | vendredi: 12:00 – 13:00, 19:00 – 21:00 | samedi: 12:00 – 13:00, 19:00 – 21:00 | dimanche: 12:00 – 13:00;Horaires continus / larges;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Établissement indépendant multi-services (hôtel-restaurant) avec forte demande de réservations et gestion d'appels 24/7 ; le standard IA optimiserait la qualification des demandes et la prise de réservations en continu, libérant l'équipe pour le service client en salle. | Hôtel + Restaurant (besoin appels 24/7 & réservations) | Volume d'avis solide (270) | Décideur identifié (Chauveau) | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Le Zèbre de Magny | Restaurant Magny-le-Hongre (77);40 Rue de la Clef des Champs, 77700 Magny-le-Hongre, France;Lagny-sur-Marne 77400;01 60 43 75 25;fixe;https://lezebredemagny.com/;;;petite PME (probable);lundi: 12:00 – 14:30, 19:00 – 22:30 | mardi: 12:00 – 14:30, 19:00 – 22:30 | mercredi: 12:00 – 14:30, 19:00 – 22:30 | jeudi: 12:00 – 14:30, 19:00 – 22:30 | vendredi: 12:00 – 14:30, 19:00 – 23:00 | samedi: 12:00 – 14:30, 19:00 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant haut de gamme avec forte activité événementielle et réservations ; Qalm AI optimiserait la gestion 24/7 des appels de réservation, demandes de privatisation et qualification des événements pour maximiser le taux de conversion. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1147) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Escale de Jossigny - Restaurant - Tabac;5 Rue de Lagny, 77600 Jossigny, France;Lagny-sur-Marne 77400;01 64 02 23 59;fixe;https://www.escaledejossigny.fr/;Sam;haute (certifiée avis);petite PME (probable);lundi: 06:30 – 19:30 | mardi: 06:30 – 19:30 | mercredi: 06:30 – 19:30 | jeudi: 06:30 – 19:30 | vendredi: 06:30 – 19:30 | samedi: 09:00 – 19:30 | dimanche: Fermé;Fermé dimanche;non;;82;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité de réservations et accueil clientèle ; Qalm AI optimiserait la gestion 24/7 des appels entrants, des réservations de tables et de la qualification des demandes traiteur, libérant Sam et son équipe pour se concentrer sur la qualité de service en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (142) | Décideur identifié (Sam) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
